epoch,accuracy,loss,val_accuracy,val_loss
0,0.9539499878883362,0.13137927651405334,0.3375000059604645,3.896254777908325
1,0.97243332862854,0.08749465644359589,0.5318333506584167,1.0633900165557861
2,0.975766658782959,0.07681963592767715,0.6583333611488342,0.5642206072807312
3,0.9758833050727844,0.07645470649003983,0.6736666560173035,0.5255839228630066
4,0.9763666391372681,0.07637275755405426,0.4480000138282776,0.9031240940093994
5,0.9754666686058044,0.07899370044469833,0.3375000059604645,2.2417566776275635
6,0.9781000018119812,0.06940091401338577,0.7143333554267883,0.6472435593605042
7,0.9770500063896179,0.0701027661561966,0.6648333072662354,0.5777178406715393
8,0.9847999811172485,0.04856223985552788,0.5136666893959045,0.7858515381813049
9,0.998199999332428,0.00931429024785757,0.3375000059604645,5.141985893249512
10,0.9972500205039978,0.011665903963148594,0.6678333282470703,0.8517035841941833
11,0.9990666508674622,0.005853512790054083,0.8523333072662354,0.3180540204048157
12,0.9986833333969116,0.00799565389752388,0.6861666440963745,0.7039645910263062
13,0.9989333152770996,0.006891768425703049,0.9926666617393494,0.0754602700471878
14,0.9990500211715698,0.006059649866074324,0.8301666378974915,0.47509947419166565
15,0.9992666840553284,0.004852294921875,0.6631666421890259,1.221441626548767
16,0.9981833100318909,0.008040058426558971,0.4480000138282776,2.558871030807495
17,0.9993500113487244,0.004602836910635233,0.7506666779518127,1.2948271036148071
18,0.9990333318710327,0.006996600888669491,0.777999997138977,0.9494423866271973
19,0.9992833137512207,0.0045318310149014,0.7773333191871643,0.730367124080658
20,0.9980999827384949,0.008432182483375072,0.4623333215713501,2.4779627323150635
21,0.9987833499908447,0.00855736993253231,0.9986666440963745,0.0836917981505394
22,0.9992166757583618,0.00530671002343297,0.925166666507721,0.14756636321544647
23,0.9988833069801331,0.005826475564390421,0.9943333268165588,0.04955264925956726
24,0.9990500211715698,0.005164359230548143,0.6886666417121887,1.046678066253662
25,0.9992666840553284,0.004275769926607609,0.6678333282470703,1.843602180480957
26,0.9988999962806702,0.005337169859558344,0.8261666893959045,0.4002504348754883
27,0.9991999864578247,0.004078896716237068,0.6693333387374878,1.086751937866211
28,0.9990833401679993,0.004720283672213554,0.8303333520889282,0.5520172715187073
29,0.9995999932289124,0.003215279895812273,0.9984999895095825,0.011127130128443241
0,0.9355666637420654,0.20238089561462402,0.9198333621025085,0.23896805942058563
1,0.9741500020027161,0.08154833316802979,0.9853333234786987,0.05114969238638878
2,0.9803000092506409,0.06586871296167374,0.9878333210945129,0.03829921409487724
3,0.9806333184242249,0.06029193848371506,0.9856666922569275,0.043546393513679504
4,0.9833666682243347,0.05103166401386261,0.9865000247955322,0.04078047722578049
5,0.9849333167076111,0.04726238176226616,0.9879999756813049,0.037954188883304596
6,0.9854000210762024,0.045826610177755356,0.9883333444595337,0.03536874055862427
7,0.9872499704360962,0.042459964752197266,0.9816666841506958,0.05027053505182266
8,0.9884166717529297,0.03879351168870926,0.9903333187103271,0.028116414323449135
9,0.9884666800498962,0.038077570497989655,0.9950000047683716,0.022179674357175827
10,0.9912833571434021,0.03129486367106438,0.9921666383743286,0.024014394730329514
11,0.9915833473205566,0.030661318451166153,0.9951666593551636,0.019580408930778503
12,0.9919000267982483,0.03047190234065056,0.9950000047683716,0.02128412015736103
13,0.9889833331108093,0.04053797572851181,0.9465000033378601,0.13512884080410004
